date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff,AQI_rolling_mean
2025-03-14,64.08333333333333,24.5625,66.83749999999999,12.870833333333332,10.2,344.6666666666667,89.33333333333333,27.579166666666666,60.958333333333336,0.0,3,3.2411264338030206,5.8454749195614175,True,False,False,False,False,False,True,False,False,93.08333333333331,88.04166666666667,89.75,58.458333333333336,68.29166666666667,68.1388888888889,9.605077987612933,-9.833333333333336,63.61111111111112
2025-03-15,93.08333333333331,28.854166666666668,66.58749999999999,16.570833333333333,14.783333333333331,450.9583333333333,103.66666666666669,27.025,49.25,0.0,3,3.396324416920281,6.113589992692272,True,False,False,False,False,False,False,True,False,88.04166666666667,89.75,72.54166666666667,64.08333333333333,58.458333333333336,63.61111111111112,4.933645354244583,5.624999999999993,71.875
2025-03-16,88.04166666666667,26.39583333333333,64.0,20.941666666666663,14.9875,509.25,99.125,26.816666666666663,43.16666666666666,0.0,3,3.3103909337039736,6.234900801689954,True,False,False,False,False,False,False,False,True,89.75,72.54166666666667,56.5,93.08333333333331,64.08333333333333,71.875,18.581044328382404,28.999999999999986,81.7361111111111
2025-03-17,89.75,29.10833333333333,58.99166666666667,35.00833333333333,19.070833333333333,574.875,70.95833333333333,26.379166666666663,43.79166666666666,0.0,3,3.4048019883655942,6.355890623256081,True,False,False,False,False,False,False,False,False,72.54166666666667,56.5,63.875,88.04166666666667,93.08333333333331,81.7361111111111,15.49419320739639,-5.041666666666643,90.29166666666667
2025-03-18,72.54166666666667,16.533333333333335,37.2,21.308333333333334,13.770833333333334,644.0833333333334,82.45833333333333,25.47083333333333,62.41666666666666,0.0,3,2.8641038310755547,6.469379507416713,True,False,False,True,False,False,False,False,False,56.5,63.875,68.16666666666667,89.75,88.04166666666667,90.29166666666667,2.564108573707331,1.7083333333333286,83.44444444444446
2025-03-19,56.5,14.370833333333332,26.8,17.658333333333335,11.604166666666666,442.25,81.66666666666667,25.691666666666663,65.20833333333333,0.0,3,2.7324717742546842,6.094133944954318,True,False,False,False,True,False,False,False,False,63.875,68.16666666666667,67.70833333333333,72.54166666666667,89.75,83.44444444444446,9.480639384985004,-17.20833333333333,72.93055555555556
2025-03-20,63.875,15.920833333333334,28.85,17.7,13.733333333333334,445.0,85.79166666666667,26.254166666666663,69.75,0.0,3,2.8285456043443067,6.100318952020064,True,False,False,False,False,True,False,False,False,68.16666666666667,67.70833333333333,66.75,56.5,72.54166666666667,72.93055555555556,16.628410956128818,-16.04166666666667,64.30555555555556
2025-03-21,68.16666666666667,18.316666666666663,34.7875,18.6125,13.954166666666666,540.0,91.33333333333331,26.791666666666668,64.5,0.0,3,2.9609682811176508,6.293419278846481,True,False,False,False,False,False,True,False,False,67.70833333333333,66.75,54.25,63.875,56.5,64.30555555555556,8.029495683161153,7.375,62.84722222222223
2025-03-22,67.70833333333333,20.875,42.42916666666667,19.816666666666663,12.958333333333334,501.2916666666667,90.20833333333331,26.77916666666667,64.45833333333333,0.0,3,3.0853444322436783,6.219180960267326,True,False,False,False,False,False,False,True,False,66.75,54.25,49.29166666666666,68.16666666666667,63.875,62.84722222222223,5.900849358196289,4.291666666666671,66.58333333333334
2025-03-23,66.75,13.85,18.6,22.54583333333333,13.870833333333332,468.5416666666667,84.79166666666667,27.820833333333336,52.91666666666666,0.0,3,2.6979998652487085,6.151757041604403,True,False,False,False,False,False,False,False,True,54.25,49.29166666666666,71.45833333333333,67.70833333333333,68.16666666666667,66.58333333333334,2.35665429039189,-0.4583333333333428,67.54166666666667
2025-03-24,54.25,9.916666666666666,12.154166666666669,19.766666666666666,12.0625,394.7083333333333,84.45833333333333,27.575,45.833333333333336,0.0,3,2.3902906734131513,5.980677407895007,True,False,False,False,False,False,False,False,False,49.29166666666666,71.45833333333333,73.29166666666667,66.75,67.70833333333333,67.54166666666667,0.722889648855672,-0.9583333333333286,62.90277777777779
2025-03-25,49.29166666666666,13.979166666666666,19.575,17.2625,12.970833333333331,329.4583333333333,82.375,25.675,71.95833333333333,0.0,3,2.706660346813156,5.800480579735374,True,False,False,True,False,False,False,False,False,71.45833333333333,73.29166666666667,96.33333333333331,54.25,66.75,62.90277777777779,7.508829678992966,-12.5,56.76388888888889
2025-03-26,71.45833333333333,15.883333333333333,28.179166666666664,14.945833333333333,11.604166666666666,349.8333333333333,105.04166666666669,26.0375,70.0,0.0,3,2.826326942026583,5.860311276888427,True,False,False,False,True,False,False,False,False,73.29166666666667,96.33333333333331,98.5,49.29166666666666,54.25,56.76388888888889,8.996559270281068,-4.958333333333343,58.333333333333336
2025-03-27,73.29166666666667,27.17083333333333,82.35833333333333,14.679166666666667,11.095833333333331,414.9583333333333,110.91666666666669,27.17083333333333,42.208333333333336,0.0,3,3.3382871637486864,6.03058509498848,True,False,False,False,False,True,False,False,False,96.33333333333331,98.5,96.79166666666669,71.45833333333333,49.29166666666666,58.333333333333336,11.633807893853493,22.16666666666667,64.68055555555556
2025-03-28,96.33333333333331,27.454166666666666,93.35833333333332,22.60833333333333,16.412499999999998,549.2916666666666,108.95833333333331,26.20833333333333,23.80729166666665,0.0,3,3.348294605619098,6.3104484406958585,True,False,False,False,False,False,True,False,False,98.5,96.79166666666669,73.70833333333333,73.29166666666667,71.45833333333333,64.68055555555556,13.358656508185305,1.8333333333333428,80.36111111111111
